	sample_name_R	SBS_LIV_A	SBS_LIV_B	SBS_LIV_C	SBS_LIV_D	SBS_LIV_E	SBS_LIV_F	SBS_LIV_G	SBS_LIV_H	SBS_LIV_I	SBS_LIV_J	SBS_LIV_K	SBS_LIV_L	SBS_LIV_M
1	5FU.PATIENT10.LIVN.CLONE1	88.289589228294	91.4260610915941	29.1210112401682	350.149956930757	52.4375906444089	188.331508232259	89.9401519274888	249.731562052652	137.009074156336	735.528636025123	0.00493619508236734	40.7024546510834	130.353338189654
2	5FU.PATIENT10.LIVN.CLONE4	177.571441202997	220.488899084925	11.6641015373017	277.846081861179	78.5851829872461	368.238751708156	149.764190344264	89.4247317063197	86.6090195510991	688.63855144677	136.198544251918	180.092416768403	194.892297015392
3	5FU.PATIENT11.LIVN.CLONE4	118.124230285843	81.5862398382926	16.325436629263	152.291800019878	36.2047221248244	66.2925069028853	172.692991738841	293.83599454086	82.5273442771619	428.702910242325	5.60844333231217e-06	49.6331864190637	87.8032003318262
4	5FU.PATIENT14.LIVN.CLONE1	333.49693518243	44.7609745682638	37.3286516292887	376.379550872376	82.9332666710984	69.8813244575416	181.458153311204	131.55966020219	55.4596645832915	951.578138703	166.512791512374	0.947685856767116	166.727533870482
5	5FU.PATIENT6.LivN.CLONE2	0.950472654778783	8.83831211720669e-07	44.2715319483498	407.897668484356	103.283519463726	198.234116124914	2.92235706211779e-06	426.660599086762	96.02729540068	877.049899785978	315.480057262036	7.33937666315914	398.834347584756
6	5FU.PATIENT6.LivN.CLONE5	126.37311589528	169.184896077063	114.666533606745	334.847773121433	117.65500100092	296.025061845078	130.843430955625	493.509897319118	94.3240312765015	690.585179416989	224.016247312058	0.925594041685487	209.060301274708
7	5FU.PATIENT7.LivN.CLONE1	31.5140252945747	78.370416812276	38.0635408977942	365.078691770636	88.7074539068281	140.419324167334	3.4970036906791e-12	300.931963538064	152.714195554971	835.193298832979	196.766169214241	1.05951877951098e-05	118.270546844776
8	5FU.PATIENT7.LivN.CLONE4	169.134119097412	60.4068891180095	50.9568127502983	315.078539317954	76.725031437299	103.929205352823	56.7345911881827	220.737780265975	116.677219868292	673.916400403098	171.845202459273	171.253731121253	150.631212993196
9	5FU.PATIENT8.LivN.CLONE13	95.9974334127776	63.6403523529321	0.0300888331063995	108.026418964253	18.7707524540611	139.819590512744	129.936595488001	266.585411611629	83.8590555093205	368.863203008183	134.8862762504	179.510869475748	61.0918218891662
10	5FU.PATIENT8.LivN.CLONE15	126.21200282657	9.87618786360386e-11	7.77067089548771	184.257326082704	5.26642662365347	153.513556396838	74.0814350670738	368.741302516781	63.4101129989159	359.131424137363	84.982406518042	102.119354489185	125.53320324767
11	5FU.PATIENT9.LivN.CLONE3	315.659346320886	1.20387205113196e-09	61.8619200590817	244.689491153717	66.2965780261449	143.096623384446	228.608394908741	324.533602140511	131.038017166215	593.431943593885	96.0303914287292	59.0265560904434	163.746771443033
12	c080216DCLONE2	61.1053306003399	5.74566754116533e-09	44.9812741656237	222.822232699303	103.691193716442	342.45715833146	5.61161035782004	502.906830542721	186.849476562937	753.622188165167	434.134517554144	0.0130918628156668	302.824485091429
13	c080216DCLONE3	185.818523280801	1.81778445324536e-06	70.4387670583719	306.613695257987	51.6658828174124	181.635256792176	72.5460157946789	579.028799061741	127.683176701551	542.432147367068	243.124649469224	113.307307924649	248.728598344735
14	c110116DCLONE2	277.511997798536	56.7966253740509	118.050632039853	213.501803756594	2.41143240092486e-12	243.682334739647	137.749189004888	236.789314480812	144.301167157288	319.323092459779	408.961520659244	196.976046749205	164.372274628098
15	c150216DCLONE2	122.558020647206	5.00381856531889e-08	39.3468956755041	54.9394064355171	20.0970908616554	80.2112608192688	91.4327560788115	1.98353267480818e-07	44.1203515557645	265.890127009528	105.363110705581	71.3314997020093	21.7267264092877
