	sample_name_R	SBS_COL_A	SBS_COL_B	SBS_COL_C	SBS_COL_D	SBS_COL_E	SBS_COL_F	SBS_COL_G	SBS_COL_H	SBS_COL_I
1	5FU.PATIENT1.N.CLONE1	149.596441020985	197.188919206399	1091.81914548511	1394.37363979633	32.6635890986785	538.696409344664	724.955660957158	520.290822580905	238.430437536542
2	5FU.PATIENT1.N.CLONE2	193.489812767398	136.710808622153	856.354702727492	1017.13381541384	106.52398900851	500.557547779448	774.002723878114	413.071018508894	187.174417789266
3	5FU.PATIENT12.COLN.CLONE4	190.584244845833	148.321797135264	389.110508908283	1218.77945906862	102.377376067235	443.052047346451	709.604515129768	331.638341547841	428.560636141672
4	5FU.PATIENT13.COLN.CLONE1	319.393425646336	297.208138916483	459.368303213688	1155.43937747037	168.255658631941	1098.36365005849	1078.61749389587	436.616726269747	207.762576037442
5	5FU.PATIENT13.COLN.CLONE2	116.655856650249	309.299485357152	789.95069888674	719.786471999552	109.50975206548	509.536857372924	1148.7279633972	298.153594380462	172.409293490665
6	5FU.PATIENT2.N.CLONE1	138.691938837499	282.039661643917	129.631082880801	457.606592310405	86.9526883318122	830.262492548528	244.479103818729	260.950471260039	404.393611126144
7	5FU.PATIENT2.N.CLONE2	107.274247818203	234.712107383971	32.9105391841065	276.650890207274	124.293821095535	1875.14090766624	1.34116510193928e-09	453.574509247183	435.425550475938
8	5FU.PATIENT2.N.CLONE3	117.13623843395	231.95271487865	319.314496574683	383.497676402415	39.6971991971429	703.78952113029	215.030163995627	347.624792949437	527.960697808728
9	5FU.PATIENT2.N.CLONE6	129.751205215661	205.412473387608	164.254557011391	171.994007971313	50.9309505907757	727.820198995609	150.630309546552	330.65616805557	389.553412075895
10	5FU.PATIENT3.N.CLONE2	130.508960584179	192.43280427616	332.91332806089	468.841870552948	38.8704807031566	821.834498838453	495.001274081414	497.248501298036	640.357457712177
11	5FU.PATIENT3.N.CLONE4	92.9454143649639	170.599589088374	353.024876273792	568.228944456841	71.48192330318	226.989317277414	737.814669482373	371.36020003473	483.584143937502
12	5FU.PATIENT4.N.CLONE1	87.8059571982007	491.714625286593	309.457290074725	772.280368267053	97.6960982841996	423.310622649915	996.868308141758	362.416471776349	57.4885664398621
13	5FU.PATIENT4.N.CLONE2	89.4346792124826	529.186166288138	219.425292923804	720.60759581219	81.2982207950031	305.349727358165	1698.39880204584	638.361815471955	1.00309598613643e-11
14	5FU.PATIENT5.N.CLONE2	99.2639603140634	118.046634877524	365.735236526215	582.609700709919	111.177441226588	358.11216202595	899.907397783362	218.06183670198	159.11975954753
15	5FU.PATIENT5.N.CLONE3	94.1832222580184	134.870678741859	605.423677272521	493.658514409617	90.8443623053757	254.457684561118	887.085953424085	224.400556965464	181.104653476368
16	EGAF00000827138	64.4347446304646	184.720846340125	872.73735293526	447.56733849274	102.621094264631	108.076819326785	520.479127006676	180.800538339581	403.575600481507
17	EGAF00000827139	92.5534239563047	125.872553210762	815.120596468311	440.064522091336	40.2936367273788	65.6765325806308	605.109970434254	282.044856672505	461.280975408291
18	EGAF00000827140	82.709064388096	139.790880925545	1008.6366023648	544.099226681522	27.5292342449552	80.3480718096406	605.352547179551	203.718443802762	398.830309751508
19	EGAF00000827141	64.5812751808435	195.859258551269	861.130357947969	442.739474971069	93.3843406912129	104.205573369827	533.129578988705	224.609229505176	417.37476953301
20	EGAF00000827249	68.4854955432052	158.13675773961	802.745784152049	473.990295000921	52.044245853251	94.3612692115735	575.937042953465	260.164826474521	354.151557479255
21	EGAF00000860183	103.403156743273	182.179015429348	734.441696473418	593.966415715249	25.9300939577425	71.0466722003825	630.492388154755	251.616675785917	461.94470172045
22	EGAF00000860184	138.66716406901	235.334509546625	1189.49984060105	724.504663242328	31.415320212486	65.3809185045805	688.775484156249	129.184245351406	464.251548117849
23	EGAF00000860185	82.8178428296182	161.135494227815	797.512515942186	765.621616130877	35.6485455095763	67.3766975265397	687.863614039792	317.361762068179	350.685532429542
24	EGAF00000860186	107.680678804741	177.622292873058	937.508459399557	696.501838472321	45.8428555537035	111.058964479708	708.32174209815	292.179785107628	332.302918731068
25	EGAF00000860187	132.742769038204	229.951938227113	1163.92411589528	726.398257191504	36.2467162154977	59.8671087090721	706.767685349226	163.101056539105	480.015134638726
26	EGAF00001014392	49.5280337538234	155.908054539065	755.044361938385	873.948341678636	30.8343460580594	72.0157160234841	499.621355648753	286.983073461257	388.136925679056
27	EGAF00001014393	70.4272937823709	133.766960667659	866.961499264848	619.197630716706	20.9906563427661	62.511563893079	468.381234885212	226.659131457344	427.118333596488
28	EGAF00001014394	92.1457268282548	196.338981153885	1225.20352310039	1049.59615060889	8.6178075432236e-12	84.7581589065529	537.720810112185	343.106018660092	393.142182567287
29	EGAF00001014395	59.1682771571289	172.251509591658	1101.45855678011	752.543296455323	57.4864959048491	153.497823470199	455.284285284473	239.502799729129	324.815991604891
30	ste01166a	60.013947808253	193.443099704752	252.928645009415	274.53266756239	8.6178075432236e-12	36.4315156783558	99.0524402501772	320.450438254103	126.162478720952
31	ste01167f	67.2646949966303	136.801192824767	146.317035570805	263.25191849671	1.0428986825578e-11	48.4742811375185	141.328606122098	540.292702878794	77.2875933303096
32	ste01205a	10.3531077844475	74.1070746722336	38.2433851982884	160.2034579764	9.34023407337587	21.8721200753885	181.838411898585	51.8967421732673	96.1693577230738
33	ste01205f	5.14326584254496	63.7510439311465	64.1790029480332	149.468050835185	8.6178075432236e-12	23.8725530710879	144.119199104149	14.4190235640748	109.070095510022
