"DEL_1e02_1e03_bp"	"DEL_1e03_1e04_bp"	"DEL_1e04_1e05_bp"	"DEL_1e05_1e06_bp"	"DEL_1e06_1e07_bp"	"DEL_1e07_Inf_bp"	"DUP_1e02_1e03_bp"	"DUP_1e03_1e04_bp"	"DUP_1e04_1e05_bp"	"DUP_1e05_1e06_bp"	"DUP_1e06_1e07_bp"	"DUP_1e07_Inf_bp"	"INV_1e02_1e03_bp"	"INV_1e03_1e04_bp"	"INV_1e04_1e05_bp"	"INV_1e05_1e06_bp"	"INV_1e06_1e07_bp"	"INV_1e07_Inf_bp"	"TRA"
"Healthy15CLONE1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Healthy15CLONE2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Healthy16CLONE1"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
"Healthy17CLONE10"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Healthy17CLONE3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"Healthy17CLONE4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LiverC150216DHealthyPO"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
"LiverC150216DHealthyPOA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ste01166a"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
"ste01167f"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
"ste01205a"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ste01205f"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"STE1207A"	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
